requirement_group,requirement_count,scenario_count,qa_pass,qa_fail,qa_unverified,scenario_pass,scenario_fail,scenario_unverified,first_requirement_id,last_requirement_id
ADM_UI,1958,3219,458,1113,387,1511,1321,387,CPF-FR-017453,CPF-FR-019410
BZA_UI,1378,2262,299,790,289,884,1089,289,CPF-FR-019411,CPF-FR-020788
FRONTEND,740,740,206,399,135,206,399,135,CPF-FR-028013,CPF-FR-028752
GOV,1,1,0,1,0,0,1,0,CPF-GATE-09,CPF-GATE-09
CORE,168,168,0,12,156,0,12,156,CPF-FR-000299,CPF-FR-004635
INTEGRATION,27,27,9,0,18,9,0,18,CPF-FR-001301,CPF-FR-004391
FILE,9,9,3,0,6,3,0,6,CPF-FR-001911,CPF-FR-001951
MESSAGING,81,81,6,63,12,6,63,12,CPF-FR-001972,CPF-FR-004452
STARTER,9,9,1,2,6,1,2,6,CPF-FR-002033,CPF-FR-002073
COMMON,54,54,12,6,36,12,6,36,CPF-FR-002094,CPF-FR-002439
GATEWAY,45,45,3,12,30,3,12,30,CPF-FR-003192,CPF-FR-003476
EXTERNAL,63,63,0,63,0,0,63,0,CPF-FR-003497,CPF-FR-003903
BATCH,144,144,48,0,96,48,0,96,CPF-FR-004656,CPF-FR-005611
SECURITY,54,54,0,0,54,0,0,54,CPF-FR-006826,CPF-FR-007319
OPS,108,108,15,45,48,15,45,48,CPF-FR-007340,CPF-FR-008051
API,24,24,0,18,6,0,18,6,CPF-FR-008656,CPF-FR-008844
QUALITY,18,18,0,0,18,0,0,18,CPF-FR-008900,CPF-FR-009027
TEST,212,256,0,0,212,0,0,256,CPF-FR-009029,CPF-FR-009240
