operation_id,source_file,baseline_sha
admAuditDeliveryList,AdmAuditLogController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admAuditDeliveryRetry,AdmAuditLogController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admAuditLogFindAuditLogs,AdmAuditLogController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admAuthLogin,AdmAuthController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admAuthLogout,AdmAuthController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admAuthMe,AdmAuthController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchActGhostExecution,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchDisableSchedule,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchEnableSchedule,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindExecutionDetail,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindExecutionPage,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindExecutionTargets,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindExecutions,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindGhostCandidates,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindInstances,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindJobDetail,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindJobs,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindLocks,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindOperationLogs,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindRelations,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindSchedules,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindStepExecutions,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchFindWorkers,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchJobDefinitionDetail,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchJobDefinitionSave,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchJobDefinitionTransition,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchJobDefinitionValidate,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchJobDefinitions,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRegisterJob,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchReleaseLock,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRetryExecution,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRunJob,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRunSchedulerOnce,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRuntimeCommand,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRuntimeCommandState,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRuntimeCreateDeploymentPlan,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRuntimeInstances,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchRuntimeView,BatchRuntimeControlController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchSimulateSchedule,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchStopExecution,AdmBatchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchWorkbenchExecutionDetail,AdmBatchWorkbenchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchWorkbenchExecutions,AdmBatchWorkbenchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchWorkbenchInfrastructure,AdmBatchWorkbenchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchWorkbenchJobDetail,AdmBatchWorkbenchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchWorkbenchJobs,AdmBatchWorkbenchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchWorkbenchOverview,AdmBatchWorkbenchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchWorkbenchRecovery,AdmBatchWorkbenchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBatchWorkbenchSchedules,AdmBatchWorkbenchController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBreakGlassCloseSession,AdmBreakGlassController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBreakGlassFindSessions,AdmBreakGlassController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBreakGlassOpenSession,AdmBreakGlassController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admBreakGlassReviewSession,AdmBreakGlassController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCacheEvictKey,AdmCacheController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCacheEvictNamespace,AdmCacheController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCacheReconcile,AdmCacheController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCacheRefresh,AdmCacheController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCacheSummary,AdmCacheController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCalendarDeleteDay,AdmBusinessCalendarController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCalendarFindDays,AdmBusinessCalendarController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCalendarResolveDate,AdmBusinessCalendarController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCalendarSaveDay,AdmBusinessCalendarController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCenterCutFindJobDetail,AdmCenterCutController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCenterCutFindJobs,AdmCenterCutController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCenterCutFindParameters,AdmCenterCutController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCenterCutFindResultDetail,AdmCenterCutController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCenterCutFindResults,AdmCenterCutController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCenterCutFindSummary,AdmCenterCutController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCenterCutFindTargets,AdmCenterCutController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admChannelExportPackage,AdmChannelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admChannelFindSnapshot,AdmChannelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admChannelImportPackage,AdmChannelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admChannelRefreshSnapshot,AdmChannelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admChannelSave,AdmChannelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admChannelSaveExecutionPolicy,AdmChannelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCodeCreateCode,AdmCodeController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCodeDeleteCode,AdmCodeController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCodeFindCode,AdmCodeController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCodeFindCodes,AdmCodeController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admCodeUpdateCode,AdmCodeController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admConfigCreateConfig,AdmConfigController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admConfigDeleteConfig,AdmConfigController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admConfigFindConfig,AdmConfigController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admConfigFindConfigs,AdmConfigController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admConfigUpdateConfig,AdmConfigController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admDownloadDownloadCsv,AdmDownloadController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admDownloadFindDownloadAuditLogs,AdmDownloadController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admDownloadFindPolicies,AdmDownloadController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admDynamicLogLevelFindRules,AdmDynamicLogLevelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admDynamicLogLevelRegister,AdmDynamicLogLevelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admDynamicLogLevelRemove,AdmDynamicLogLevelController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobApply,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobArtifact,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobCancel,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobDetail,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobList,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobResolveUnknown,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobRetry,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobRollback,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobRows,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admFileJobUpload,AdmFileJobController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayCancelConnectionTest,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayCapability,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayChangeBindingState,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayDeleteBinding,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayDeleteServerGroup,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayFindApplyStatus,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayFindBindings,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayFindConnectionTestOperation,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayFindConnectionTests,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayFindGroupMembers,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayFindServerGroups,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayOperationsEvents,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
admGatewayOperationsSnapshot,AdmGatewayRegistryController.java,19dd72b5978f2a3c630943c0fff05bee2d2fed34
